NAICS Code,Success,County
54,151464.152376687,Anne Arundel
22,147489.971901644,Anne Arundel
72,146462.216933822,Anne Arundel
32,133836.133018803,Anne Arundel
62,106903.630930927,Anne Arundel
51,89240.6353967339,Anne Arundel
42,82889.7104269284,Anne Arundel
33,73438.0736153858,Anne Arundel
11,29210.7442401925,Anne Arundel
23,6959.75900671619,Anne Arundel
31,-5173.05477701481,Anne Arundel
45,-6155.04276962929,Anne Arundel
61,-6333.72462852462,Anne Arundel
92,-8837.32539578923,Anne Arundel
44,-9793.94927519214,Anne Arundel
53,-24214.5507743069,Anne Arundel
48,-26693.6174341981,Anne Arundel
56,-28780.7265734685,Anne Arundel
81,-32221.6782089826,Anne Arundel
71,-34074.7372046201,Anne Arundel
52,-37466.9003830125,Anne Arundel
49,-47827.5904854585,Anne Arundel
21,-47827.5904930388,Anne Arundel
23,143000.888645536,Howard
45,93024.861014662,Howard
42,87211.9154644445,Howard
54,48760.574053258,Howard
44,37066.9283155866,Howard
62,32076.6926743821,Howard
71,12090.0000504206,Howard
72,7167.14561133979,Howard
48,287.410135594244,Howard
33,272.778289305788,Howard
56,-12569.9007683723,Howard
51,-17181.247834152,Howard
52,-22416.0868287631,Howard
61,-34388.9888963128,Howard
31,-35535.3324837818,Howard
81,-39713.0588643733,Howard
53,-40618.1694540634,Howard
32,-41067.2611123047,Howard
49,-47439.6276562691,Howard
21,-47827.5904930388,Howard
92,-47827.5904930388,Howard
11,-47827.5904930388,Howard
48,314387.525688589,Prince Georges
44,37967.5190104143,Prince Georges
72,27217.9239974696,Prince Georges
23,15107.2972884103,Prince Georges
62,9350.68717601835,Prince Georges
22,-1008.33228872149,Prince Georges
42,-8839.48469936948,Prince Georges
33,-8963.01678279687,Prince Georges
81,-11630.6285471949,Prince Georges
54,-19288.3601886112,Prince Georges
61,-19725.4531259983,Prince Georges
71,-22904.7934520506,Prince Georges
31,-26573.6399154622,Prince Georges
45,-29520.8757239839,Prince Georges
56,-33430.0514323826,Prince Georges
32,-35327.8571151771,Prince Georges
51,-37682.5133607922,Prince Georges
53,-44655.4258919622,Prince Georges
92,-46987.0043467044,Prince Georges
